Id,Label,timeset,d0,indegree,outdegree,degree
2010 Fifa World Cup Qualification (Inter-Confederation Play-Offs),2010 Fifa World Cup Qualification (Inter-Confederation Play-Offs),,0,6,0,6
Julio Alberto,Julio Alberto,,0,6,0,6
Miklos Molnar,Miklos Molnar,,0,4,0,4
Odawara,Odawara,,0,8,0,8
Chinese Football Association Footballer Of The Year,Chinese Football Association Footballer Of The Year,,0,5,0,5
Fifa Women'S World Cup Hosts,Fifa Women'S World Cup Hosts,,0,5,0,5
Vedat İnceefe,Vedat İnceefe,,0,6,0,6
Maxi López,Maxi López,,0,4,0,4
Arena Da Amazônia,Arena Da Amazônia,,0,12,0,12
Pinyin,Pinyin,,0,7,0,7
François Omam-Biyik,François Omam-Biyik,,0,8,0,8
Usa Today,Usa Today,,0,20,0,20
Uefs Futsal Men'S Championship,Uefs Futsal Men'S Championship,,0,6,0,6
Seoul Broadcasting System,Seoul Broadcasting System,,0,8,0,8
2013 Concacaf Gold Cup,2013 Concacaf Gold Cup,,0,8,0,8
Pfc Cska Sofia,Pfc Cska Sofia,,0,7,0,7
Movistar,Movistar,,0,5,0,5
Aviva Stadium,Aviva Stadium,,0,10,0,10
Kagoshima Prefecture,Kagoshima Prefecture,,0,6,0,6
"Carlos Hernández (Footballer, Born 1982)","Carlos Hernández (Footballer, Born 1982)",,0,6,0,6
Fifa Confederations Cup Records And Statistics,Fifa Confederations Cup Records And Statistics,,0,15,0,15
Josip Drmić,Josip Drmić,,0,6,0,6
George Moorhouse,George Moorhouse,,0,4,0,4
Nelo Vingada,Nelo Vingada,,0,6,0,6
1989 European Cup Final,1989 European Cup Final,,0,9,0,9
South Korea National Under-23 Football Team,South Korea National Under-23 Football Team,,0,16,0,16
Manchukuo National Football Team,Manchukuo National Football Team,,0,8,0,8
Association Football Records In South Africa,Association Football Records In South Africa,,0,4,0,4
Mitsubishi Electric,Mitsubishi Electric,,0,5,0,5
Cuba,Cuba,,0,8,0,8
Incheon Munhak Stadium,Incheon Munhak Stadium,,0,44,52,96
"Quim (Footballer, Born 1975)","Quim (Footballer, Born 1975)",,0,5,0,5
Thomas Enevoldsen,Thomas Enevoldsen,,0,4,0,4
Kang Min-Soo,Kang Min-Soo,,0,4,0,4
Football At The 2000 Summer Olympics – Men'S Tournament,Football At The 2000 Summer Olympics – Men'S Tournament,,0,25,0,25
2019 Emperor'S Cup,2019 Emperor'S Cup,,0,6,0,6
Douglas Sequeira,Douglas Sequeira,,0,5,0,5
United States At The Fifa World Cup,United States At The Fifa World Cup,,0,11,0,11
Fc Dinamo București,Fc Dinamo București,,0,4,0,4
Massimo Palanca,Massimo Palanca,,0,4,0,4
Mexico National Under-17 Football Team,Mexico National Under-17 Football Team,,0,5,0,5
Mexico 1986 Fifa World Cup Bid,Mexico 1986 Fifa World Cup Bid,,0,6,0,6
Ullevaal Stadion,Ullevaal Stadion,,0,6,0,6
Stade Joseph Marien,Stade Joseph Marien,,0,9,0,9
Marn Grook,Marn Grook,,0,4,0,4
Ramesh Ramdhan,Ramesh Ramdhan,,0,8,0,8
Michel Kitabdjian,Michel Kitabdjian,,0,5,0,5
2017 Eaff E-1 Football Championship,2017 Eaff E-1 Football Championship,,0,4,0,4
Sasebo,Sasebo,,0,8,0,8
Tajikistan Football Federation,Tajikistan Football Federation,,0,15,0,15
Saint Barthélemy National Football Team,Saint Barthélemy National Football Team,,0,4,0,4
2008 K-League,2008 K-League,,0,6,0,6
2022 Fifa World Cup Group E,2022 Fifa World Cup Group E,,0,8,0,8
Central America,Central America,,0,6,0,6
Peter Shilton,Peter Shilton,,0,15,0,15
1968 Summer Olympics,1968 Summer Olympics,,0,6,0,6
